zcta,city,state,metro,county,price_psf,sale_count,pop_density,population,pov,med_hh_income
80134,Parker,CO,Denver-Aurora-Lakewood,Douglas County,227.696917808219,232,0.4393205620214425,64118,2,108.761
80013,Aurora,CO,Denver-Aurora-Lakewood,Arapahoe County,234.203296703297,186,2.005268238508067,72650,6.1,74.202
80634,Greeley,CO,Greeley,Weld County,208.333333333333,148,0.5729384054135481,55318,6.4,67.754
80525,Fort Collins,CO,Fort Collins,Larimer County,244.891532540238,103,0.8463571515665906,53128,3.9,69.941
80015,Aurora,CO,Denver-Aurora-Lakewood,Arapahoe County,225.522552255226,167,1.801081723823298,66695,4,93.231
80016,Aurora,CO,Denver-Aurora-Lakewood,Arapahoe County,218.549465240642,164,0.42938781111024,52270,3.4,113.243
80219,Denver,CO,Denver-Aurora-Lakewood,Denver County,350.182887513634,80,3.4793885090167525,67646,23.9,43.815
80504,Longmont,CO,Boulder,Boulder County,223.789086450031,129,0.20400822707542668,52339,6.4,88.036
80538,Loveland,CO,Fort Collins,Larimer County,244.47127613657,118,0.1671487174807324,46754,6.3,64.808
80020,Broomfield,CO,Denver-Aurora-Lakewood,Broomfield County,266.683135704875,101,0.9763830295006738,49962,3.9,84.089
80123,Denver,CO,Denver-Aurora-Lakewood,Denver County,275.6610642318,92,1.5078645871991891,46379,3.6,76.113
80918,Colorado Springs,CO,Colorado Springs,El Paso County,282.953761214631,98,1.5791327955117627,48995,4.7,61.069
80012,Aurora,CO,Denver-Aurora-Lakewood,Arapahoe County,218.868734925827,91,2.5643414920020215,51572,19,49.658
80229,Thornton,CO,Denver-Aurora-Lakewood,Adams County,233.317607003891,71,1.58953567270028,54183,13.2,54.554
80211,Denver,CO,Denver-Aurora-Lakewood,Denver County,458.837962376117,120,2.9017000480825668,33789,15.1,70.057
80526,Fort Collins,CO,Fort Collins,Larimer County,245.680066221739,80,0.46544895195345587,46018,9,61.971
80014,Aurora,CO,Denver-Aurora-Lakewood,Arapahoe County,211.046357615894,98,2.122805588694575,38810,10.7,53.986
80537,Loveland,CO,Fort Collins,Larimer County,260.679092465247,70,0.1580871019129228,43394,7.9,62.675
80233,Northglenn,CO,Denver-Aurora-Lakewood,Adams County,241.156752411576,89,2.0990839558936196,49492,8.2,69.621
80011,Aurora,CO,Denver-Aurora-Lakewood,Arapahoe County,233.016800584368,60,0.7791391072011211,49746,18,43.764
80210,Denver,CO,Denver-Aurora-Lakewood,Denver County,476.446034585569,94,2.317024373830752,36394,4.8,82.865
80220,Denver,CO,Denver-Aurora-Lakewood,Denver County,425.2,96,2.652410671371194,36008,10.6,69.967
80631,Greeley,CO,Greeley,Weld County,231.718898385565,67,0.2099649555612719,55930,27.7,41.476
80501,Longmont,CO,Boulder,Boulder County,275.915898617512,66,1.3104390310876666,41996,14.8,52.946
80231,Denver,CO,Denver-Aurora-Lakewood,Denver County,246.507806080526,47,3.0105651462764054,36766,16.4,53.85
80127,Ken Caryl,CO,Denver-Aurora-Lakewood,Jefferson County,269.659011830202,95,0.3322611908860977,44552,2.6,104.827
80401,Golden,CO,Denver-Aurora-Lakewood,Jefferson County,333.69659929513,57,0.30358863282937293,41026,6.2,78.553
80022,Commerce City,CO,Denver-Aurora-Lakewood,Adams County,199.282662010292,121,0.40794749675804076,48652,14,60.269
80909,Colorado Springs,CO,Colorado Springs,El Paso County,237.779458019466,58,1.7847710199746802,38731,16.3,40.589
80021,Westminster,CO,Denver-Aurora-Lakewood,Adams County,283.956460009465,58,0.7734325260021117,33033,3,76.369
80205,Denver,CO,Denver-Aurora-Lakewood,Denver County,425.531914893617,76,2.769362060615564,32886,22.7,62.865
80906,Colorado Springs,CO,Colorado Springs,El Paso County,320.463510848126,90,0.2953116200021755,35664,7.6,62.374
80203,Denver,CO,Denver-Aurora-Lakewood,Denver County,384.308542626534,50,7.3280054231413985,20366,4.6,50.306
80227,Lakewood,CO,Denver-Aurora-Lakewood,Jefferson County,258.363791767614,63,1.8432082708981297,35323,7.3,63.441
80524,Fort Collins,CO,Fort Collins,Larimer County,249.916666666667,48,0.10581978703473321,34670,12.3,54.876
80126,Highlands Ranch,CO,Denver-Aurora-Lakewood,Douglas County,256.687242798354,104,1.5920820801640923,44221,2.2,121.524
80228,Lakewood,CO,Denver-Aurora-Lakewood,Jefferson County,299.094301963712,89,1.1713207014063172,33430,3.5,75.215
80247,Denver,CO,Denver-Aurora-Lakewood,Denver County,208.25,58,3.7189913392884804,28329,23.8,43.743
80204,Denver,CO,Denver-Aurora-Lakewood,Denver County,400.929888262119,68,2.3114791363361094,33302,26.2,36.216
80004,Arvada,CO,Denver-Aurora-Lakewood,Jefferson County,298.833470582608,66,1.9508092864828994,37241,4.7,74.056
80112,Centennial,CO,Denver-Aurora-Lakewood,Arapahoe County,263.315082130413,66,0.6913315301667147,33165,4.4,91.458
80221,Sherrelwood,CO,Denver-Aurora-Lakewood,Adams County,323.743268156342,66,1.7282593115255607,40548,17.9,52.865
