"drivernumber","balltype","distance"
1,"current",264
2,"current",261
3,"current",267
4,"current",272
5,"current",258
6,"current",283
7,"current",258
8,"current",266
9,"current",259
10,"current",270
11,"current",263
12,"current",264
13,"current",284
14,"current",263
15,"current",260
16,"current",283
17,"current",255
18,"current",272
19,"current",266
20,"current",268
21,"current",270
22,"current",287
23,"current",289
24,"current",280
25,"current",272
26,"current",275
27,"current",265
28,"current",260
29,"current",278
30,"current",275
31,"current",281
32,"current",274
33,"current",273
34,"current",263
35,"current",275
36,"current",267
37,"current",279
38,"current",274
39,"current",276
40,"current",262
1,"coated",277
2,"coated",269
3,"coated",263
4,"coated",266
5,"coated",262
6,"coated",251
7,"coated",262
8,"coated",289
9,"coated",286
10,"coated",264
11,"coated",274
12,"coated",266
13,"coated",262
14,"coated",271
15,"coated",260
16,"coated",281
17,"coated",250
18,"coated",263
19,"coated",278
20,"coated",264
21,"coated",272
22,"coated",259
23,"coated",264
24,"coated",280
25,"coated",274
26,"coated",281
27,"coated",276
28,"coated",269
29,"coated",268
30,"coated",262
31,"coated",283
32,"coated",250
33,"coated",253
34,"coated",260
35,"coated",270
36,"coated",263
37,"coated",261
38,"coated",255
39,"coated",263
40,"coated",279
