spray_date,spray_rate,wash_date,wash_type,item_type,electric_dryer,drying_split,conc,lod,sd_block,clrep
6/21/17,1x,6/21/17,none,workshirt,no,NA,3.8193,NA,1,3
6/21/17,1x,6/21/17,none,jeans,no,NA,6.0448,NA,1,3
6/21/17,1x,6/21/17,none,100 tshirt,no,NA,5.487,NA,1,3
6/21/17,1x,6/21/17,none,50:50 tshirt,no,NA,3.2952,NA,1,3
6/21/17,1x,6/21/17,agitator,onesie,no,UV,0.0471,NA,1,1
6/21/17,1x,6/21/17,agitator,workshirt,no,UV,0.4594,NA,1,1
6/21/17,1x,6/21/17,agitator,jeans,no,UV,2.0742,NA,1,1
6/21/17,1x,6/21/17,agitator,100 tshirt,no,UV,0.4267,NA,1,1
6/21/17,1x,6/21/17,agitator,50:50 tshirt,no,UV,0.8498,NA,1,1
6/21/17,1x,6/21/17,agitator,onesie,no,WND,0.0416,NA,1,1
6/21/17,1x,6/21/17,agitator,workshirt,no,WND,0.1542,NA,1,1
6/21/17,1x,6/21/17,agitator,jeans,no,WND,2.3824,NA,1,1
6/21/17,1x,6/21/17,agitator,100 tshirt,no,WND,0.311,NA,1,1
6/21/17,1x,6/21/17,agitator,50:50 tshirt,no,WND,1.0063,NA,1,1
6/21/17,1x,6/21/17,agitator,onesie,yes,NA,0.0422,NA,1,1
6/21/17,1x,6/21/17,agitator,workshirt,yes,NA,0.454,NA,1,1
6/21/17,1x,6/21/17,agitator,jeans,yes,NA,1.8841,NA,1,1
6/21/17,1x,6/21/17,agitator,100 tshirt,yes,NA,1.0493,NA,1,1
6/21/17,1x,6/21/17,agitator,50:50 tshirt,yes,NA,0.6231,NA,1,1
6/21/17,1x,6/21/17,agitator,onesie,no,CL,0.0437,NA,1,1
6/21/17,1x,6/21/17,agitator,workshirt,no,CL,0.5081,NA,1,1
6/21/17,1x,6/21/17,agitator,jeans,no,CL,1.9156,NA,1,1
6/21/17,1x,6/21/17,agitator,100 tshirt,no,CL,0.3195,NA,1,1
6/21/17,1x,6/21/17,agitator,50:50 tshirt,no,CL,0.9256,NA,1,1
6/21/17,1x,6/21/17,HE,onesie,no,UV,0.002,NA,1,2
6/21/17,1x,6/21/17,HE,workshirt,no,UV,0.1035,NA,1,2
6/21/17,1x,6/21/17,HE,jeans,no,UV,0.0743,NA,1,2
6/21/17,1x,6/21/17,HE,100 tshirt,no,UV,0.0087,NA,1,2
6/21/17,1x,6/21/17,HE,50:50 tshirt,no,UV,0.0291,NA,1,2
6/21/17,1x,6/21/17,HE,onesie,no,WND,0,NA,1,2
6/21/17,1x,6/21/17,HE,workshirt,no,WND,0.1732,NA,1,2
6/21/17,1x,6/21/17,HE,jeans,no,WND,0.0785,NA,1,2
6/21/17,1x,6/21/17,HE,100 tshirt,no,WND,0.0127,NA,1,2
6/21/17,1x,6/21/17,HE,50:50 tshirt,no,WND,0.0375,NA,1,2
6/21/17,1x,6/21/17,HE,onesie,yes,NA,0.018,NA,1,2
6/21/17,1x,6/21/17,HE,workshirt,yes,NA,0.0424,NA,1,2
6/21/17,1x,6/21/17,HE,jeans,yes,NA,0.5351,NA,1,2
6/21/17,1x,6/21/17,HE,100 tshirt,yes,NA,0.0101,NA,1,2
6/21/17,1x,6/21/17,HE,50:50 tshirt,yes,NA,0.6005,NA,1,2
6/21/17,1x,6/21/17,HE,onesie,no,CL,0.0029,NA,1,2
6/21/17,1x,6/21/17,HE,workshirt,no,CL,0.0324,NA,1,2
6/21/17,1x,6/21/17,HE,jeans,no,CL,0.0787,NA,1,2
6/21/17,1x,6/21/17,HE,100 tshirt,no,CL,0.0119,NA,1,2
6/21/17,1x,6/21/17,HE,50:50 tshirt,no,CL,0.0146,NA,1,2
6/21/17,1x,6/22/17,none,workshirt,no,NA,4.8754,NA,1,6
6/21/17,1x,6/22/17,none,jeans,no,NA,4.433,NA,1,6
6/21/17,1x,6/22/17,none,100 tshirt,no,NA,4.8802,NA,1,6
6/21/17,1x,6/22/17,none,50:50 tshirt,no,NA,5.0199,NA,1,6
